iter	Passed	Remaining
162	374	1923
163	376	1919
164	378	1913
165	379	1907
166	381	1902
167	383	1897
168	384	1891
169	386	1885
170	387	1879
171	389	1872
172	390	1866
173	391	1860
174	393	1854
175	394	1847
176	396	1841
177	397	1836
178	399	1831
179	400	1825
180	401	1817
181	403	1811
182	404	1805
183	405	1799
184	407	1793
185	408	1787
186	409	1781
187	411	1776
188	412	1770
189	414	1765
190	415	1760
191	417	1755
192	418	1750
193	420	1745
194	421	1740
195	423	1736
196	424	1730
197	426	1725
198	427	1720
199	428	1715
200	430	1710
201	431	1704
202	432	1699
203	434	1695
204	436	1691
205	437	1686
206	439	1682
207	440	1678
208	442	1674
209	444	1670
210	445	1665
211	446	1661
212	448	1658
213	450	1653
214	451	1649
215	453	1645
216	455	1642
217	456	1638
218	458	1634
219	459	1630
220	461	1626
221	463	1623
222	464	1618
223	465	1614
224	467	1610
225	468	1606
226	470	1603
227	472	1599
228	473	1595
229	475	1591
230	476	1587
231	478	1583
232	479	1579
233	481	1576
234	483	1572
235	484	1569
236	486	1565
237	487	1561
238	489	1558
239	490	1554
240	492	1550
241	493	1546
242	495	1543
243	497	1539
244	498	1536
245	500	1534
246	502	1531
247	503	1528
248	505	1524
249	506	1520
250	508	1517
251	509	1512
252	511	1509
253	513	1506
254	514	1503
255	516	1500
256	517	1497
257	519	1493
258	520	1490
259	522	1487
260	524	1484
261	525	1481
262	527	1478
263	529	1475
264	530	1471
265	532	1468
266	533	1464
267	535	1461
268	536	1457
269	537	1454
270	539	1450
271	540	1447
272	542	1443
273	543	1440
274	544	1436
275	546	1433
276	547	1430
277	549	1426
278	550	1423
279	552	1420
280	553	1417
281	555	1414
282	557	1411
283	558	1407
284	559	1404
285	561	1400
286	562	1397
287	563	1393
288	565	1390
289	566	1387
290	568	1384
291	570	1382
292	571	1378
293	572	1375
294	574	1372
295	575	1369
296	577	1366
297	578	1362
298	580	1360
299	581	1357
300	583	1354
301	584	1352
302	586	1349
303	588	1346
304	589	1343
305	591	1340
306	592	1337
307	594	1334
308	595	1331
309	597	1328
310	598	1325
311	599	1323
312	601	1320
313	602	1317
314	604	1314
315	606	1311
316	607	1309
317	609	1306
318	610	1303
319	612	1301
320	613	1298
321	615	1295
322	617	1293
323	618	1290
324	620	1288
325	621	1285
326	623	1282
327	624	1279
328	626	1276
329	627	1273
330	628	1271
331	630	1267
332	631	1264
333	632	1261
334	634	1258
335	635	1255
336	637	1253
337	638	1251
338	640	1248
339	641	1246
340	643	1243
341	644	1240
342	646	1237
343	647	1234
344	648	1231
345	650	1229
346	651	1226
347	653	1223
348	654	1220
349	655	1218
350	657	1215
351	658	1212
352	660	1209
353	661	1207
354	662	1204
355	664	1201
356	665	1198
357	666	1195
358	668	1192
359	669	1190
360	670	1187
361	672	1184
362	673	1182
363	675	1179
364	676	1176
365	678	1174
366	679	1172
367	680	1169
368	682	1167
369	683	1164
370	685	1161
371	686	1159
372	687	1156
373	689	1153
374	690	1151
375	692	1148
376	693	1146
377	695	1144
378	696	1141
379	698	1139
380	699	1136
381	700	1133
382	702	1131
383	703	1128
384	704	1125
385	706	1123
386	707	1121
387	709	1118
388	710	1116
389	712	1113
390	713	1111
391	714	1108
392	716	1106
393	717	1104
394	719	1101
395	720	1099
396	722	1096
397	723	1094
398	724	1091
399	726	1089
400	727	1087
401	729	1084
402	730	1082
403	732	1080
404	733	1077
405	734	1075
406	736	1072
407	737	1070
408	739	1068
409	740	1065
410	742	1063
411	743	1061
412	745	1059
413	746	1056
414	748	1054
415	749	1052
416	751	1050
417	752	1048
418	754	1046
419	756	1044
420	757	1042
421	759	1039
422	760	1037
423	762	1035
424	763	1032
425	765	1030
426	766	1028
427	767	1026
428	769	1023
429	770	1021
430	771	1019
431	773	1017
432	775	1014
433	776	1012
434	778	1010
435	779	1008
436	780	1006
437	782	1003
438	783	1001
439	785	999
440	786	997
441	788	995
442	789	992
443	790	990
444	792	988
445	793	986
446	795	983
447	796	981
448	797	979
449	799	976
450	800	974
451	801	972
452	803	970
453	804	967
454	806	965
455	807	963
456	809	961
457	810	959
